mean_intensity_red,mean_intensity_green,mean_intensity_blue,label
217.86,218.99,219.15,projector
50.89,51.75,49.26,mouse
132.92,136.56,140.48,backpack
91.46,95.23,105.88,monitor
136.65,130.83,111.71,calculator
82.21,90.32,92.23,mug
165.18,163.02,165.42,laptop
119.89,126.3,122.83,mug
63.27,66.15,66.53,projector
65.56,62.35,67.4,bike
153.88,105.0,73.19,laptop
94.84,96.0,96.31,headphones
79.66,81.98,81.96,mug
188.16,187.95,187.95,headphones
179.27,177.18,175.94,monitor
142.71,141.98,141.19,laptop
157.37,159.79,164.2,keyboard
63.15,60.7,63.91,calculator
115.49,111.17,110.26,keyboard
92.21,94.32,95.29,keyboard
93.19,98.28,93.06,bike
90.04,87.11,85.03,bike
157.67,155.53,159.29,monitor
209.01,187.4,186.43,calculator
43.99,46.34,41.61,laptop
150.89,143.27,146.57,headphones
118.64,133.25,147.15,calculator
113.66,112.63,108.13,monitor
83.31,87.17,90.68,monitor
166.28,166.31,166.29,headphones
48.9,64.89,75.56,bike
151.82,153.78,154.8,calculator
104.12,94.99,91.24,projector
50.29,68.84,85.19,monitor
149.65,148.8,149.51,keyboard
106.61,108.26,110.79,backpack
127.41,125.25,122.26,monitor
149.65,146.28,142.35,backpack
183.21,180.34,179.97,monitor
127.81,118.0,116.93,backpack
103.84,78.82,67.32,mouse
221.42,221.3,221.42,projector
109.09,97.6,94.36,backpack
219.85,219.64,219.84,headphones
60.57,65.86,65.84,mug
140.89,142.6,143.69,laptop
83.64,88.31,85.18,bike
107.0,98.04,104.74,backpack
134.4,91.87,45.46,mouse
155.12,150.03,139.41,headphones
173.87,175.99,180.36,mouse
133.42,93.41,101.68,calculator
142.74,144.27,147.12,mug
133.73,130.96,127.76,keyboard
86.44,84.47,111.99,mug
151.68,151.99,151.75,backpack
232.67,233.0,233.83,mouse
166.84,163.58,162.74,projector
82.07,88.67,91.15,projector
102.86,123.06,141.71,backpack
95.62,101.25,108.43,backpack
156.2,157.62,167.24,mouse
141.41,140.12,135.87,headphones
140.84,141.4,143.94,backpack
83.69,114.63,128.82,mouse
20.41,27.12,26.74,headphones
75.9,79.69,88.05,backpack
124.38,123.77,125.15,backpack
93.62,77.12,77.17,projector
207.58,207.61,207.27,monitor
123.39,121.28,121.7,projector
126.24,127.31,127.06,laptop
95.89,92.56,92.27,backpack
97.19,97.39,97.16,calculator
168.68,168.05,167.88,headphones
99.22,95.72,92.8,laptop
57.09,72.21,117.75,mouse
118.08,117.73,117.72,headphones
55.34,56.42,85.67,mug
200.23,200.31,196.95,mouse
104.36,114.91,128.22,mug
72.94,93.66,90.43,bike
141.58,141.89,139.86,projector
145.81,143.82,142.69,projector
134.91,131.6,128.78,laptop
114.07,114.73,129.25,mug
111.33,117.12,118.17,bike
136.82,137.43,137.98,laptop
71.73,97.21,112.07,calculator
67.35,85.3,102.92,headphones
163.15,162.74,163.22,headphones
160.99,154.09,155.68,headphones
96.48,96.85,95.79,projector
140.3,136.63,133.82,projector
96.12,98.1,99.37,laptop
112.76,110.21,107.9,backpack
226.98,226.96,227.1,headphones
90.97,106.05,121.53,mouse
86.38,84.55,84.71,projector
216.39,210.13,206.85,mouse
48.53,53.88,47.76,calculator
74.85,88.92,101.95,bike
171.13,171.78,172.66,headphones
94.86,99.39,99.73,backpack
196.24,196.95,199.22,monitor
126.54,136.82,143.7,headphones
177.88,175.15,174.06,calculator
87.64,95.0,94.6,bike
64.71,73.71,80.65,bike
131.81,142.42,147.75,backpack
188.74,187.75,184.06,monitor
138.45,138.6,138.59,keyboard
151.36,147.22,147.05,laptop
111.2,104.48,105.19,projector
226.78,227.64,227.06,headphones
163.59,165.27,167.84,calculator
144.44,144.63,168.79,backpack
78.3,75.38,74.77,projector
97.2,130.35,116.68,bike
164.59,165.83,174.38,mouse
213.08,211.17,221.03,mug
91.4,95.78,128.92,backpack
139.53,144.01,150.49,mug
128.32,134.7,139.1,mug
123.47,121.53,122.09,monitor
67.91,55.02,105.39,backpack
82.62,79.41,75.62,bike
100.21,97.09,109.0,headphones
223.4,221.5,221.05,keyboard
222.43,221.9,226.6,mouse
115.2,96.57,81.62,laptop
129.11,129.52,136.2,calculator
151.38,134.09,84.7,projector
115.37,110.12,111.68,backpack
67.17,65.41,66.31,backpack
193.37,192.27,188.58,backpack
103.25,103.55,103.47,headphones
145.18,145.01,143.95,bike
184.91,204.38,212.0,keyboard
144.59,139.81,141.82,headphones
64.79,102.62,120.54,mug
137.67,133.28,161.44,mug
53.48,70.13,77.76,bike
229.41,235.11,233.74,mouse
167.74,169.75,169.75,bike
233.73,233.58,233.59,projector
81.68,112.89,143.38,headphones
70.57,70.07,76.97,mug
154.46,154.07,153.93,bike
189.6,172.03,155.32,monitor
54.8,59.76,69.06,laptop
178.93,178.44,177.59,backpack
98.9,86.94,91.98,laptop
166.98,164.41,163.54,calculator
118.05,112.07,105.46,projector
151.29,147.6,146.02,calculator
156.57,145.26,140.88,laptop
160.02,157.48,157.32,projector
200.47,198.59,199.07,monitor
210.44,216.8,225.96,mug
104.4,104.14,101.97,backpack
231.33,230.15,229.86,keyboard
113.6,113.29,112.44,projector
145.38,144.49,145.73,projector
57.26,57.08,63.54,headphones
113.53,111.45,110.66,projector
235.43,235.23,236.08,calculator
142.87,140.27,139.58,headphones
138.25,143.18,120.7,mouse
231.49,230.25,236.69,mouse
165.78,154.23,142.24,backpack
190.72,191.45,189.99,mouse
114.23,114.11,114.16,headphones
87.36,82.31,90.46,backpack
221.01,219.92,217.55,headphones
88.73,88.25,92.7,calculator
194.16,193.94,196.46,headphones
217.98,216.85,217.85,headphones
107.83,107.82,107.83,headphones
89.51,87.9,82.87,monitor
150.74,135.5,137.37,backpack
126.64,119.11,113.2,laptop
134.04,133.83,133.93,bike
124.35,122.92,121.37,projector
65.73,71.17,70.0,projector
164.66,159.9,142.63,monitor
194.28,194.28,194.28,laptop
110.44,143.06,147.78,monitor
134.11,105.72,100.69,backpack
149.68,138.74,136.45,mug
152.29,147.9,147.25,backpack
111.21,114.62,116.9,projector
129.78,130.02,130.83,projector
135.88,138.83,143.68,monitor
214.33,212.42,210.55,headphones
108.45,107.9,106.96,backpack
150.92,146.03,157.95,mug
37.56,38.17,39.7,laptop
137.57,130.43,129.43,calculator
179.7,177.34,178.52,mug
69.19,89.57,110.54,backpack
134.76,138.02,142.7,calculator
100.24,107.91,115.83,mug
54.34,50.95,46.68,bike
145.16,143.34,142.41,laptop
153.45,155.92,145.8,laptop
210.99,204.37,201.41,headphones
164.97,126.78,117.5,mouse
174.54,148.15,119.86,calculator
72.29,80.63,103.07,laptop
60.11,53.4,45.09,mouse
202.05,201.25,205.11,monitor
133.31,133.34,132.89,headphones
99.16,98.86,99.08,bike
154.55,154.35,154.09,bike
67.9,66.53,68.31,laptop
78.09,67.83,68.37,backpack
132.14,118.06,102.86,backpack
40.03,68.67,92.23,laptop
61.2,65.37,137.07,backpack
196.04,194.34,193.88,headphones
140.05,126.5,120.27,monitor
80.76,80.82,83.86,calculator
205.51,205.92,218.88,calculator
138.46,137.25,135.81,headphones
115.12,117.99,115.25,backpack
112.46,112.48,108.81,monitor
223.74,223.77,223.44,calculator
123.56,118.92,123.81,keyboard
125.58,122.41,120.4,calculator
139.73,129.61,110.23,backpack
59.71,53.29,63.28,mouse
183.47,182.24,182.03,monitor
91.78,87.05,129.9,calculator
114.61,112.82,115.39,backpack
114.24,129.54,160.72,backpack
20.24,77.68,97.61,laptop
94.06,89.23,86.77,backpack
54.22,54.93,58.3,mug
207.31,210.52,211.68,calculator
68.85,95.54,123.54,calculator
67.73,65.95,67.33,mouse
159.73,130.53,148.19,calculator
140.02,140.35,140.35,mug
142.45,131.77,132.36,mouse
42.8,54.73,74.2,backpack
44.84,57.93,59.87,bike
210.35,196.77,162.7,monitor
124.52,125.92,124.29,headphones
211.42,207.57,204.98,headphones
161.59,163.01,164.6,mug
202.98,201.09,202.43,calculator
83.9,82.31,82.57,projector
101.92,122.13,136.3,keyboard
82.35,81.65,81.41,projector
37.1,33.84,52.35,backpack
98.7,97.93,97.34,headphones
204.02,199.43,194.9,projector
180.5,176.02,177.93,laptop
95.26,91.56,133.33,backpack
110.56,95.93,123.29,monitor
177.21,177.0,175.65,monitor
98.05,92.11,96.4,backpack
152.47,152.45,154.13,calculator
143.28,121.11,108.93,mouse
164.41,162.88,161.37,headphones
175.46,170.88,167.24,laptop
216.36,217.28,217.4,projector
130.83,130.41,130.42,headphones
97.52,93.81,106.18,laptop
137.8,137.28,138.93,bike
162.2,173.64,176.95,monitor
115.68,127.14,189.5,mug
79.04,76.2,75.24,mouse
137.47,136.32,136.9,monitor
126.48,136.65,133.0,monitor
192.38,188.93,190.38,laptop
148.13,148.09,148.34,bike
98.5,84.89,82.94,bike
193.26,185.79,185.08,laptop
122.33,137.22,154.28,monitor
147.54,151.08,154.14,monitor
163.56,171.91,174.51,keyboard
76.85,80.43,79.14,mouse
92.62,106.81,113.09,backpack
174.64,175.54,175.55,headphones
160.52,159.37,159.45,bike
78.85,78.85,78.85,laptop
87.36,55.71,55.6,projector
179.56,203.08,229.76,mouse
69.02,61.75,111.66,headphones
44.23,41.24,96.84,mug
185.62,180.2,179.83,laptop
157.86,157.2,159.5,projector
222.33,220.15,221.17,projector
58.37,79.9,100.55,headphones
219.91,211.43,213.94,calculator
138.82,88.65,70.35,calculator
193.2,192.79,195.38,bike
186.23,173.79,177.34,keyboard
57.52,72.74,84.41,laptop
150.66,149.9,147.52,calculator
113.94,114.63,113.67,bike
181.5,181.21,180.99,calculator
122.12,124.82,125.62,bike
107.48,106.14,106.58,projector
144.14,146.47,147.76,monitor
87.35,98.08,109.15,bike
171.7,171.51,171.43,headphones
152.62,155.57,154.65,monitor
123.18,171.41,201.69,calculator
176.45,175.99,175.21,headphones
68.2,67.3,70.27,calculator
145.36,153.3,156.25,backpack
131.14,137.72,124.24,mug
134.08,131.45,115.83,laptop
46.85,64.61,76.16,bike
229.26,235.39,230.22,mouse
137.91,138.0,137.38,keyboard
134.27,143.99,135.4,mug
100.45,103.68,104.57,backpack
131.99,133.65,135.18,laptop
146.52,151.8,157.45,bike
92.59,108.79,106.24,laptop
122.2,119.08,119.02,monitor
142.66,139.87,137.74,laptop
207.65,199.87,192.2,calculator
183.99,191.02,200.25,mug
217.2,217.15,217.23,keyboard
156.14,155.69,156.06,backpack
79.91,76.51,97.13,backpack
36.18,37.09,51.26,bike
162.89,174.79,180.22,mug
205.23,209.04,209.8,headphones
91.43,78.43,63.17,laptop
120.78,120.63,98.56,monitor
167.07,163.96,163.65,backpack
139.65,154.77,156.81,laptop
199.31,197.14,196.59,headphones
226.89,226.46,225.76,keyboard
131.4,134.66,134.01,mug
91.59,77.15,45.17,headphones
105.36,88.11,141.58,mouse
108.27,106.65,105.62,projector
226.18,226.63,226.91,projector
193.28,180.48,167.83,headphones
93.79,83.28,73.58,calculator
181.25,192.56,173.49,monitor
150.78,150.97,152.21,bike
96.24,89.71,97.22,monitor
189.0,188.97,192.53,headphones
26.72,24.69,22.93,keyboard
116.88,121.17,118.63,headphones
129.78,129.82,129.56,headphones
184.67,183.98,181.86,mouse
186.92,189.14,187.86,mouse
204.35,204.79,203.89,monitor
133.98,123.81,123.14,monitor
43.79,55.28,53.98,bike
134.63,128.76,126.2,mouse
105.62,98.51,95.28,projector
169.23,171.91,173.84,keyboard
130.67,130.95,131.47,bike
91.39,98.72,99.39,headphones
116.0,109.23,115.31,laptop
94.73,95.77,100.73,laptop
100.33,98.16,97.14,projector
